frame,stamp,lidar_x,lidar_y,lidar_z,enu_x,enu_y,enu_z,error_m,rmse_m
151,1769515227.819772959,30.631865,1.700414,0.076126,31.903208,-2.312530,0.066600,4.209528,3.140576
152,1769515227.919744968,30.975286,1.725760,0.074562,32.141593,-2.316804,0.065200,4.207456,3.183103
153,1769515228.019773245,31.307413,1.788123,0.073848,32.349683,-2.319822,0.066100,4.238112,3.225897
154,1769515228.119772196,31.644222,1.855267,0.066594,32.725854,-2.327362,0.067400,4.320222,3.270081
155,1769515228.219772577,31.985327,1.930799,0.059987,33.033603,-2.334210,0.061200,4.391945,3.315253
156,1769515228.319772243,32.329994,1.908141,0.066302,33.375623,-2.339683,0.062200,4.374627,3.358776
157,1769515228.419771910,32.662102,1.947146,0.063030,33.857803,-2.349340,0.056900,4.459768,3.403379
158,1769515228.519772053,32.989952,1.971557,0.066050,34.165415,-2.353405,0.054700,4.481867,3.447467
159,1769515228.619771719,33.342525,2.037635,0.060925,34.404123,-2.348024,0.053200,4.512323,3.491330
160,1769515228.719771385,33.691452,2.091871,0.050489,34.885212,-2.355212,0.051600,4.604520,3.536603
161,1769515228.819770813,34.033283,2.131224,0.052213,35.196351,-2.351923,0.046600,4.631562,3.581253
162,1769515228.919771194,34.376560,2.170689,0.046777,35.574968,-2.355102,0.048300,4.681770,3.625814
163,1769515229.019770622,34.710667,2.210617,0.045376,35.850979,-2.345804,0.051600,4.696948,3.669480
164,1769515229.119770527,35.036507,2.252094,0.042922,36.161713,-2.347287,0.049400,4.735022,3.713317
165,1769515229.219771385,35.383728,2.295512,0.042076,36.542628,-2.343545,0.051900,4.781632,3.758310
166,1769515229.319770813,35.735661,2.337196,0.041236,36.852631,-2.339665,0.052700,4.808408,3.801531
167,1769515229.419797897,36.065693,2.400940,0.028995,37.269930,-2.344768,0.056100,4.896189,3.846243
168,1769515229.519798040,36.406639,2.418319,0.027314,37.684000,-2.354687,0.055900,4.941058,3.891374
169,1769515229.619798183,36.743538,2.473829,0.032191,38.029227,-2.360492,0.055600,5.002419,3.936741
170,1769515229.719770193,37.073421,2.505840,0.026776,38.374178,-2.377789,0.056900,5.053980,3.982399
171,1769515229.819769621,37.432625,2.558811,0.033659,38.818843,-2.407202,0.056400,5.155910,4.029954
172,1769515229.919769049,37.782433,2.568869,0.023391,39.225100,-2.429869,0.064500,5.202919,4.077479
173,1769515230.019768715,38.125275,2.591409,0.017485,39.532666,-2.447185,0.064900,5.231675,4.124293
174,1769515230.119769335,38.463570,2.611080,0.012753,39.802861,-2.462325,0.064100,5.247455,4.170668
175,1769515230.219796896,38.800331,2.626714,0.007995,40.108783,-2.484085,0.065800,5.275951,4.216295
176,1769515230.419823885,39.481602,2.717262,0.006056,40.725659,-2.509307,0.069700,5.372965,4.285514
177,1769515230.519769192,39.819122,2.729483,0.002208,41.300150,-2.541787,0.072300,5.475824,4.334661
178,1769515230.619796038,40.158287,2.734851,-0.002902,41.572947,-2.555887,0.072600,5.477123,4.383092
179,1769515230.719740868,40.492485,2.769872,-0.004467,41.981887,-2.582397,0.067200,5.556100,4.432386
180,1769515230.819768667,40.834690,2.805467,-0.010622,42.291276,-2.601859,0.070400,5.600659,4.481351
181,1769515231.119822025,41.845375,2.898418,-0.019036,43.553951,-2.659853,0.083200,5.815845,4.604628
182,1769515231.319795132,42.540382,2.953938,-0.030938,44.002789,-2.684360,0.082800,5.825974,4.681191
183,1769515231.519821882,43.227566,3.008988,-0.038837,44.420888,-2.705619,0.085700,5.839199,4.756980
184,1769515231.619821310,43.567066,3.027873,-0.046193,44.910920,-2.729079,0.085300,5.913183,4.808962
185,1769515231.719794512,43.914482,3.064856,-0.050120,45.295332,-2.748830,0.087300,5.977004,4.860086
186,1769515231.919820786,44.616203,3.122753,-0.061294,45.970393,-2.782005,0.081000,6.059723,4.933009
187,1769515232.019820213,45.322453,3.181089,-0.072785,46.285669,-2.797223,0.077200,6.057268,4.983449
188,1769515232.119820118,45.317665,3.190907,-0.075782,46.884472,-2.832513,0.079700,6.225805,5.015837
189,1769515232.319821119,46.015369,3.254775,-0.086266,47.702478,-2.868750,0.078400,6.353818,5.071115
190,1769515232.419820786,46.369179,3.283375,-0.094043,48.271646,-2.897351,0.067900,6.468924,5.129337
191,1769515232.619820118,47.065399,3.330825,-0.108198,48.732286,-2.919373,0.066800,6.471022,5.207222
192,1769515232.719820023,47.423180,3.362869,-0.118312,49.238786,-2.938287,0.055200,6.559810,5.264748
193,1769515233.019819021,48.480282,3.460056,-0.139776,50.100587,-2.972437,0.044400,6.635984,5.373057
194,1769515233.319819927,49.533939,3.554145,-0.166198,50.999335,-3.012995,0.047600,6.732045,5.484474
195,1769515233.419819117,49.898491,3.585418,-0.174121,51.779404,-3.060865,0.046500,6.910831,5.550935
196,1769515233.519845963,50.257061,3.615912,-0.179039,52.206700,-3.088335,0.045500,6.985588,5.618580
197,1769515233.719817877,50.743916,3.655255,-0.211345,52.594540,-3.120785,0.041400,7.028756,5.712578
198,1769515233.819818497,51.321266,3.694425,-0.206734,53.124427,-3.153522,0.035000,7.085493,5.780195
199,1769515233.919844866,51.666458,3.722013,-0.215633,53.618303,-3.189388,0.028200,7.185862,5.849259
200,1769515234.119844437,52.383816,3.768510,-0.233423,54.182856,-3.231291,0.018500,7.231682,5.948219
201,1769515234.219845295,52.727112,3.794984,-0.239892,54.641525,-3.264682,0.006900,7.318795,6.019478
202,1769515234.319845438,53.077568,3.821186,-0.249517,54.924046,-3.285197,0.000700,7.346616,6.090247
